Template,1,2,3,4,5,6,7,8,9,10,11,12
A,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
B,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB2.5+S,MUB2.5,Buf+s,Buf
C,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
D,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB1.25+S,MUB1.25,Buf+s,Buf
E,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
F,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.625+S,MUB0.625,Buf+s,Buf
G,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
H,N-sub-blank,N-sub-blank,P-sub-blank,P-sub-blank,N-Assay,N-Assay,P-Assay,P-Assay,MUB0.16+S,MUB0.16,Buf+s,Buf
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,bad,bad,,,bad,bad,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,sub_300,mub_2.5,mub_2.5,0,0
B,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,sub_210,mub_2.5,mub_2.5,0,0
C,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,sub_150,mub_1.25,mub_1.25,0,0
D,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,sub_75,mub_1.25,mub_1.25,0,0
E,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,sub_37.2,mub_0.625,mub_0.625,0,0
F,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,sub_18.6,mub_0.625,mub_0.625,0,0
G,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,sub_9.6,mub_0.16,mub_0.16,0,0
H,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,sub_4.8,mub_0.16,mub_0.16,0,0
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,649,671,7404,7500,1181,1134,23786,22466,22967,27184,251,65
B,477,474,5813,5856,1014,1040,23960,21333,21150,26951,257,66
C,367,369,4641,4633,959,913,19643,20630,8985,13893,264,67
D,211,221,2668,2938,697,653,14970,17146,10907,14405,270,67
E,120,146,1642,1616,572,555,17675,16871,5617,6698,269,71
F,108,109,725,644,449,441,15481,13063,5569,6532,274,73
G,96,94,628,559,395,387,4833,9097,1612,1891,279,74
H,85,71,305,267,6350,6158,4585,2159,1572,1728,260,73
